year,month,day,col,row,dem,gdp,pop,type,grass,forest,urban,crop,ssrd,tp,t2m,u10,v10,d2m,sp,DOY,data,AOT40
2015,1,2,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,2930301.7908587707,0.0012618441835226468,263.69750481030655,2.532142933395636,1.1243068886600578,258.84170537539393,88273.69994057195,1.6956521739130435,20150102,59.0
2015,1,3,145,56,1282.0,74.0,28.326383999999994,10.0,1.0,0.0,0.0,0.0,1762021.8652180342,0.0038537417369941917,265.9367258755396,1.5036272970639153,0.9074731910828234,262.79050051384445,88043.69776414876,2.6666666666666665,20150103,17.5
2015,1,4,145,56,1282.0,74.0,28.326384,10.0,1.0,0.0,0.0,0.0,4542400.827389762,0.0003258069620011561,254.16323700307416,1.134770700360712,2.112405516577286,248.6694497643068,89030.69435763954,3.9166666666666665,20150104,13.0
2015,1,5,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,4914219.096388632,2.330581971960404e-06,252.76481958093737,2.1175426884518465,2.8918895079772544,247.5061427535121,88861.35193619758,4.636363636363637,20150105,58.0
2015,1,6,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,5229357.721553196,2.1377836515583266e-06,257.2002357877057,1.6773052924710237,2.483041991799713,251.3969814930855,88844.34491925553,5.636363636363637,20150106,39.5
2015,1,7,145,56,1282.0,74.0,28.326383999999994,10.0,1.0,0.0,0.0,0.0,4530188.632696503,2.2114233278053286e-06,256.41787633077575,1.5117592843575896,2.5069139108811176,253.02588856539978,89283.83350060157,6.666666666666667,20150107,26.0
2015,1,8,145,56,1282.0,74.0,28.326384,10.0,1.0,0.0,0.0,0.0,4361143.979651111,1.4156510409770624e-06,257.83888636768035,1.8192149435130511,2.773929944995782,254.63633743573388,89229.5736213422,7.619047619047619,20150108,72.0
2015,1,9,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,4834664.27123673,8.783697326002626e-07,261.1655957692082,2.232817930261327,2.782321352285271,255.62078965540218,88659.97031336665,8.652173913043478,20150109,106.5
2015,1,10,145,56,1282.0,74.0,28.326383999999994,10.0,1.0,0.0,0.0,0.0,3799432.0778437327,0.00010398863548227114,262.96198586721647,1.4508057198007058,2.1862012908815482,257.9198479989758,88987.37274191376,9.666666666666666,20150110,31.5
2015,1,11,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,3878053.4478838746,8.554374725295217e-05,259.1931307357442,1.4168518095073572,2.8316388762127502,255.94039404710952,89013.81716435212,10.695652173913043,20150111,19.5
2015,1,12,145,56,1282.0,74.0,28.326384,10.0,1.0,0.0,0.0,0.0,4183627.970976454,0.00015500638918819427,263.8220497245207,1.5480236530806022,2.155064767616296,258.4547558100965,88782.18126134922,11.6,20150112,37.0
2015,1,13,145,56,1282.0,74.0,28.326383999999994,10.0,1.0,0.0,0.0,0.0,3377590.5401248224,0.0003095931070125246,263.40080414005405,0.9853971347381282,1.8225691540669249,259.58822068055355,89237.68581936018,12.666666666666666,20150113,0.0
2015,1,14,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,4883275.403044865,1.2299890910182618e-05,259.6434406519334,1.3536361562922334,1.9939579524654845,254.6336918657633,89356.95190170381,13.652173913043478,20150114,32.5
2015,1,15,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,5433733.011473746,0.0,260.999327194431,1.5610090119924678,2.226137773110231,253.80768994145322,89034.90597886773,14.636363636363637,20150115,66.5
2015,1,16,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,4053308.5918572578,0.00020557448863861092,263.22278575019385,0.7343238739557209,1.1679495455986493,256.6424373968176,89386.37197860522,15.636363636363637,20150116,0.0
2015,1,17,145,56,1282.0,74.0,28.326383999999994,10.0,1.0,0.0,0.0,0.0,3856447.8596712076,0.0002611981000326441,257.690057255004,1.5199454106648063,1.8467526243879246,250.52268587637226,89352.97613558208,16.666666666666668,20150117,0.0
2015,1,18,145,56,1282.0,74.0,28.326384,10.0,1.0,0.0,0.0,0.0,4314018.957014023,8.664056373286489e-07,262.28950709032586,1.5657862324383078,1.7742184882630923,252.51554912528545,88648.14077543114,17.75,20150118,32.0
2015,1,19,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,4854229.285602541,2.8911007306219463e-06,259.16891785059954,1.0339899500731784,1.906758476875756,253.09902606697284,88850.14789685592,18.695652173913043,20150119,0.0
2015,1,20,145,56,1282.0,74.0,28.326383999999994,10.0,1.0,0.0,0.0,0.0,5402176.730990493,2.8303648711506163e-07,260.8895581849321,1.6692734613124565,2.072658363707147,253.27586078357118,88956.07564838318,19.666666666666668,20150120,90.0
2015,1,21,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,3352880.966517367,0.0011108356288800892,263.1498040256294,1.4418549017818338,1.620457418125208,257.7715845043627,88358.18524036999,20.652173913043477,20150121,33.5
2015,1,22,145,56,1282.0,74.0,28.326383999999994,10.0,1.0,0.0,0.0,0.0,3095488.8261105097,0.0017400051398000409,264.0385105460645,1.0123127846940516,0.8085786253281341,259.3665920140838,88527.65224218153,21.666666666666668,20150122,0.0
2015,1,23,145,56,1282.0,74.0,28.326384,10.0,1.0,0.0,0.0,0.0,3958013.787600141,0.0018811185878515,265.2039154082072,1.0168798699550032,0.5309757739677949,262.87894794522964,88267.32097367692,22.7,20150123,0.0
2015,1,24,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,3923040.66483597,0.0015283902254483864,262.9101730473234,0.5481159394233225,0.8325014964560671,258.04557082513094,88602.01164622337,23.652173913043477,20150124,0.0
2015,1,25,145,56,1282.0,74.0,28.326383999999994,10.0,1.0,0.0,0.0,0.0,5525590.899506102,2.5093143182250536e-05,253.68382618545022,1.0330548447898877,1.7982486939086917,243.73616479054223,89305.48242995924,24.666666666666668,20150125,51.0
2015,1,26,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,5955716.607166689,1.0403224537661878e-05,252.6539688194175,1.4264245297254605,2.0663469528056275,242.57708196155156,89523.1258620608,25.636363636363637,20150126,46.5
2015,1,27,145,56,1282.0,74.0,28.326383999999994,10.0,1.0,0.0,0.0,0.0,5781239.509549897,8.04321193184914e-05,255.42007356535532,1.0570356935996827,1.5591290755908807,250.01235299935567,89413.30092626483,26.666666666666668,20150127,29.5
2015,1,28,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,5953469.640644374,1.856324933120828e-06,252.1673211516749,1.0290368063797877,1.5787825554898354,242.22485545464636,89573.77652064218,27.652173913043477,20150128,0.5
2015,1,29,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,6115272.04484902,1.8924256101565167e-18,253.89369791231272,1.2249939880629759,1.7792143278845491,244.21216137677308,89366.84347193972,28.727272727272727,20150129,46.5
2015,1,30,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,6696135.609022737,0.0,255.27268068694573,1.7730957573426032,2.190311388518073,245.07726065176163,89110.38417168027,29.652173913043477,20150130,74.0
2015,1,31,145,56,1282.0,74.0,28.326383999999994,10.0,1.0,0.0,0.0,0.0,6617393.574878306,0.0,256.9200504220941,1.7758568730984754,2.0740326296632605,247.41296120148453,88909.37183372339,30.666666666666668,20150131,96.5
2015,2,1,145,56,1282.0,74.0,28.326383999999994,10.0,1.0,0.0,0.0,0.0,6485437.76477627,9.25185853854297e-18,257.18515077104234,1.4197927879275405,2.1053251823038113,250.1869257420991,88650.95206474377,31.666666666666668,20150201,71.5
2015,2,2,145,56,1282.0,74.0,28.326383999999994,10.0,1.0,0.0,0.0,0.0,6625897.427199528,7.723543052484913e-08,257.07194376846786,1.1994408661553029,2.1834207653859257,248.488779583203,89401.87526005704,32.666666666666664,20150202,49.0
2015,2,3,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,6904586.599911494,6.481214793484537e-07,258.24989401266384,1.763167294840491,2.6772791448642117,246.56169188809915,90026.17783960146,33.65217391304348,20150203,153.0
2015,2,4,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,7088001.650994289,8.726753031559777e-08,261.0668666791176,1.6890120636250667,2.62229299512355,246.33847575935343,89782.21738005927,34.69565217391305,20150204,97.0
2015,2,5,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,7241538.010460049,0.0,260.3705268764383,1.1877527906237002,2.4225878552687563,246.4630940477857,89444.71495825061,35.65217391304348,20150205,125.5
2015,2,6,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,7323169.239006697,7.217299273022006e-07,259.68636622739575,1.3950105206193506,2.1798982235753726,245.04852092789304,89354.86361842298,36.65217391304348,20150206,81.0
2015,2,7,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,7416840.83261603,6.098270898312511e-07,261.76333291858236,1.9139235779785728,2.1642802169233923,248.7878614098572,88971.03820974397,37.65217391304348,20150207,132.0
2015,2,8,145,56,1282.0,74.0,28.326383999999994,10.0,1.0,0.0,0.0,0.0,6804515.792024628,1.0865228612747895e-06,263.2287011264348,1.533256684490338,1.8578079009942712,252.07194194569888,88819.7295081846,38.666666666666664,20150208,85.0
2015,2,9,145,56,1282.0,74.0,28.326383999999994,10.0,1.0,0.0,0.0,0.0,6815539.011409012,1.0305418585310896e-06,264.2788294037474,1.5494868977449345,1.7982908831518813,254.58780079791075,88812.23837538989,39.666666666666664,20150209,112.5
2015,2,10,145,56,1282.0,74.0,28.326383999999994,10.0,1.0,0.0,0.0,0.0,6475994.741351686,0.00014954313906560018,266.040359361188,1.1934389522502176,1.2500970962686082,257.8793873075427,88877.70148901104,40.666666666666664,20150210,81.0
2015,2,11,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,5855567.281060521,0.00017072952078911512,267.2852668657555,1.125130196309442,1.5173472314961989,259.47030239981405,88660.18493828241,41.65217391304348,20150211,70.0
2015,2,12,145,56,1282.0,74.0,28.326383999999994,10.0,1.0,0.0,0.0,0.0,5075385.894699362,0.000682216799970745,267.51289064270946,2.0796479249020074,1.4604159808432824,263.0196707798206,88034.6879348755,42.666666666666664,20150212,160.0
2015,2,13,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,3388858.593685625,0.004582210126120499,268.93177107674904,2.0297144257420014,0.9653582833121349,266.6952580100229,87602.04210777851,43.65217391304348,20150213,111.5
2015,2,14,145,56,1282.0,74.0,28.326383999999997,10.0,1.0,0.0,0.0,0.0,6426615.785820485,0.0019955195192033633,260.5352315629647,0.8814195216524475,1.4908354000864212,252.38756983616463,88771.24949351876,44.65217391304348,20150214,49.0
2015,2,15,145,56,1282.0,74.0,28.326383999999994,10.0,1.0,0.0,0.0,0.0,7904539.911024469,6.675224024889462e-07,261.9910845179157,1.4827520507675434,1.814804195063154,250.12118692303818,88735.78381379509,45.666666666666664,20150215,80.5
2015,2,16,145,56,1282.0,74.0,28.326383999999994,10.0,1.0,0.0,0.0,0.0,7838644.854663554,0.0,263.0494799349751,1.528272440861845,2.256648268264111,252.840782001025,88394.55997728182,46.666666666666664,20150216,160.0
2015,2,17,145,56,1282.0,74.0,28.326383999999994,10.0,1.0,0.0,0.0,0.0,7477587.8857776495,0.0001088040358741731,268.2952833150774,1.127322497632546,1.7073683100019954,260.29929975187804,88304.00141636557,47.666666666666664,20150217,177.5
2015,2,18,145,56,1282.0,74.0,28.326383999999994,10.0,1.0,0.0,0.0,0.0,4902496.739078021,0.001972810445126529,268.88857385433204,0.5306803357663681,0.7637312230948926,267.25291740182274,88263.22241137299,48.666666666666664,20150218,31.5
2015,2,19,145,56,1282.0,74.0,28.326383999999994,10.0,1.0,0.0,0.0,0.0,4972165.33881149,0.003549800042973864,260.0373057775117,1.3569897039731462,1.247398332370522,256.2133655516565,88492.04342713568,49.666666666666664,20150219,9.0
