year,month,day,col,row,dem,gdp,pop,type,grass,forest,urban,crop,ssrd,tp,t2m,u10,v10,d2m,sp,DOY,data,AOT40
2015,1,2,565,62,217.0,166.31046999999992,48.75460399999998,4.0,0.0,1.0,0.0,0.0,5530881.996758357,3.722352058074204e-07,253.69016110875287,2.6983851379676413,0.947694272881909,248.68466564337814,97600.19376211739,1.6956521739130435,20150102,0.0
2015,1,3,565,62,217.0,166.31046999999992,48.75460399999998,4.0,0.0,1.0,0.0,0.0,5370506.012014303,2.7260426511202533e-06,255.1609571551394,1.2925601806316056,0.48146379794561917,250.69710515372378,97373.37183760776,2.6666666666666665,20150103,0.0
2015,1,4,565,62,217.0,166.31046999999998,48.75460399999999,4.0,0.0,1.0,0.0,0.0,5686904.614001088,4.454522235181983e-06,259.0053241163873,1.2098393222370185,0.4828061510184658,255.34024140437023,97611.25049186016,3.9166666666666665,20150104,0.0
2015,1,5,565,62,217.0,166.31046999999992,48.75460399999998,4.0,0.0,1.0,0.0,0.0,4701429.814111695,2.6617178328893562e-05,259.5652317872314,1.2531392197527436,0.5741637909235257,256.9307187001933,97139.05158463548,4.636363636363637,20150105,0.0
2015,1,6,565,62,217.0,166.31046999999992,48.75460399999998,4.0,0.0,1.0,0.0,0.0,4873234.049454611,9.946979169782995e-05,255.01268707069048,2.602022382760567,1.129302007482725,250.60584282591455,96936.6825295931,5.636363636363637,20150106,0.0
2015,1,7,565,62,217.0,166.31046999999992,48.75460399999998,4.0,0.0,1.0,0.0,0.0,5397244.386560972,4.4980664374870344e-05,255.6150432581314,2.760230152716557,2.258243753040318,250.6267936226541,97838.02193037473,6.666666666666667,20150107,0.0
2015,1,8,565,62,217.0,166.31046999999995,48.754603999999986,4.0,0.0,1.0,0.0,0.0,5607069.572000439,1.4156510409770624e-06,256.3277664934486,2.1201654916921537,1.239395760216552,250.83365582952487,98249.26661387781,7.619047619047619,20150108,0.0
2015,1,9,565,62,217.0,166.31046999999992,48.75460399999998,4.0,0.0,1.0,0.0,0.0,5261891.081630961,3.813704236311189e-05,255.80997570591103,1.9415021272477957,0.7367081852268009,251.13514914634194,97931.6121506614,8.652173913043478,20150109,0.0
2015,1,10,565,62,217.0,166.31046999999992,48.75460399999998,4.0,0.0,1.0,0.0,0.0,5476481.147777967,3.9587823926537164e-05,255.15259478181554,1.7085602862816047,1.0847159385382825,250.9367089216852,97857.55611004985,9.666666666666666,20150110,0.0
2015,1,11,565,62,217.0,166.31046999999992,48.75460399999998,4.0,0.0,1.0,0.0,0.0,5852290.331885892,-4.223674550204399e-18,255.16879163517532,1.736823368850946,1.2959829018491404,250.26611091930783,98441.81135945441,10.695652173913043,20150111,0.0
2015,1,12,565,62,217.0,166.31046999999995,48.754603999999986,4.0,0.0,1.0,0.0,0.0,5936724.252800878,0.0,258.15572465110154,2.151081661335955,0.6168414689350231,252.74013265026733,99122.79704168011,11.6,20150112,0.0
2015,1,13,565,62,217.0,166.31046999999992,48.75460399999998,4.0,0.0,1.0,0.0,0.0,6026217.430200561,1.6876718514577855e-06,259.1465196394361,1.726342340598131,0.4033680623209213,254.2650959037846,98992.46792137304,12.666666666666666,20150113,0.0
2015,1,14,565,62,217.0,166.31046999999995,48.754603999999986,4.0,0.0,1.0,0.0,0.0,5650009.60626766,2.0201512138480804e-06,255.8965480883686,1.5883330547825372,1.0019307079371986,251.59017597626286,99166.34161768378,13.384615384615385,20150114,0.0
2015,1,15,565,62,217.0,166.31046999999998,48.75460399999999,4.0,0.0,1.0,0.0,0.0,6657604.558390427,0.0,255.8662702151701,1.8223323643024736,0.9171754355840478,249.44419623388285,98596.35190943976,15.0,20150115,0.0
2015,1,16,565,62,217.0,166.31046999999992,48.75460399999998,4.0,0.0,1.0,0.0,0.0,6194827.24690822,9.34052376358526e-06,253.18623802935264,1.724175872354621,0.7785193060537666,248.39330678621275,97923.38967168033,15.636363636363637,20150116,0.0
2015,1,17,565,62,217.0,166.31046999999992,48.75460399999998,4.0,0.0,1.0,0.0,0.0,6140033.152737296,3.969434603973606e-05,255.9645714965333,2.4535332969058703,1.0922541690891785,251.5035436232081,97737.2367682534,16.666666666666668,20150117,0.0
2015,1,18,565,62,217.0,166.31046999999995,48.754603999999986,4.0,0.0,1.0,0.0,0.0,6043785.835270782,1.628738472017749e-05,256.982368821108,0.9914919384282619,0.6953059506864179,252.1030844749842,97811.53694682868,17.75,20150118,5.0
2015,1,19,565,62,217.0,166.31046999999992,48.75460399999998,4.0,0.0,1.0,0.0,0.0,6433493.426257865,3.6439939119992344e-06,254.99685993158596,1.703651103758301,1.3422650654142194,249.919876442671,98005.56644699552,18.695652173913043,20150119,0.0
2015,1,20,565,62,217.0,166.31046999999992,48.75460399999998,4.0,0.0,1.0,0.0,0.0,6366093.1628746865,2.8303648711506163e-07,256.1425858353844,1.4013261252584346,0.5297448687163178,250.86134720932316,98681.37055368735,19.666666666666668,20150120,0.0
2015,1,21,565,62,217.0,166.31046999999992,48.75460399999998,4.0,0.0,1.0,0.0,0.0,6389747.276150947,9.1377897724717e-07,256.13908877855647,1.3348950505067867,0.7210778029748199,251.4055945887963,98642.18319247576,20.652173913043477,20150121,0.0
2015,1,22,565,62,217.0,166.31046999999992,48.75460399999998,4.0,0.0,1.0,0.0,0.0,6645602.911405957,1.0884961837333517e-06,255.3582353384351,1.2054208830943447,0.5463575109769633,251.6783253117793,98542.28540364046,21.666666666666668,20150122,0.0
