year,month,day,col,row,dem,gdp,pop,type,grass,forest,urban,crop,ssrd,tp,t2m,u10,v10,d2m,sp,DOY,data,AOT40
2015,1,2,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,5326951.826262109,1.4333310718293313e-06,259.4064787263992,1.9586617798952437,1.9976111387885356,249.50003077375416,100207.60732577105,1.6956521739130435,20150102,0.0
2015,1,3,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,4951445.932308915,8.722921817731305e-07,259.6764979938552,0.918935339911874,1.7642235655835037,254.2047302049692,99184.3194456349,2.6666666666666665,20150103,0.0
2015,1,4,500,62,157.0,724.8290400000002,291.62653,12.0,0.0,0.0,0.0,1.0,5702042.576330499,3.489168727092522e-07,261.76528873920637,0.6849955068871479,1.8874710632515708,254.87427987843247,99595.27624700415,3.9166666666666665,20150104,0.0
2015,1,5,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,5338960.518989047,5.2643405707759e-07,261.7472456276385,3.379996723440075,2.7196951540776673,253.83810770201472,99278.47188327783,4.636363636363637,20150105,0.0
2015,1,6,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,5858967.505337352,2.1377836515583266e-06,258.8348767833932,3.145532365779374,3.35639365196851,246.74456261573852,99960.2966335468,5.636363636363637,20150106,0.0
2015,1,7,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,5662919.295423678,2.2114233278053286e-06,259.40403539259734,1.5818682529147023,2.13030429014452,247.03656921003298,100848.72567054769,6.666666666666667,20150107,0.0
2015,1,8,500,62,157.0,724.8290400000003,291.6265299999999,12.0,0.0,0.0,0.0,1.0,5293021.999553842,8.173914046243003e-06,259.7173850435499,1.1037597705479303,1.0514393553621662,252.0414738307932,100839.68036978871,7.619047619047619,20150108,0.0
2015,1,9,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,5348241.3822919605,1.1718929712385513e-05,260.8438493545378,1.165995620922913,1.8797745142747235,254.61514529592105,100403.22339985975,8.652173913043478,20150109,0.0
2015,1,10,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,5417114.564255158,2.464038332175992e-05,260.47370477307464,0.5921092607285469,1.8312818635175152,254.54265477883257,100328.44613977087,9.666666666666666,20150110,0.0
2015,1,11,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,5593826.315341955,5.506101129798305e-06,260.66145200387996,1.3349635899945815,2.569832816911141,252.64064696397065,101200.59494909045,10.695652173913043,20150111,0.0
2015,1,12,500,62,157.0,724.8290400000003,291.6265299999999,12.0,0.0,0.0,0.0,1.0,5808936.914653689,0.0,259.9676129696078,0.8600347495076492,1.660869075802563,253.67255979663145,101458.46485266127,11.6,20150112,0.0
2015,1,13,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,5811164.039369479,1.6876718514577855e-06,261.4146806870992,0.7340848098219035,2.456875408460206,255.66156424184,101168.36681686631,12.666666666666666,20150113,0.0
2015,1,14,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,6038441.597348564,1.1418245991315237e-06,259.7648257816043,0.7218756132108537,1.3606229750421626,255.1093160658923,101509.58064699576,13.652173913043478,20150114,0.0
2015,1,15,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,5776937.584224078,0.0,258.14527694451766,0.6968385724783603,1.8045383044401109,251.40946296464793,101272.46907310048,14.652173913043478,20150115,0.0
2015,1,16,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,5745048.345641265,7.783769802978781e-08,261.12402495854633,2.1689945879004413,2.491442913077154,251.0119857458404,100481.23946623104,15.636363636363637,20150116,0.0
2015,1,17,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,6257214.639174159,0.0,261.62191661494586,2.1951733339745965,1.7658773361925608,250.65215489953107,100381.47989564498,16.666666666666668,20150117,0.0
2015,1,18,500,62,157.0,724.8290400000003,291.6265299999999,12.0,0.0,0.0,0.0,1.0,4338047.914476676,3.8685504532785796e-05,260.2121495617672,0.9970939796890969,2.7938934905713877,253.27431823649903,99949.38441481475,17.75,20150118,0.0
2015,1,19,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,5121432.890657809,2.8830722929157577e-05,258.60200894550917,0.27433766450499597,2.2394374511781496,252.59623665261975,100485.29788973778,18.695652173913043,20150119,0.0
2015,1,20,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,6385943.029361799,2.3535596533035227e-06,259.7597346385183,0.48095633542923505,1.7037205396274269,253.8101893437362,100628.6596051749,19.666666666666668,20150120,0.0
2015,1,21,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,6465248.559534891,9.1377897724717e-07,259.0451870166248,0.9913260266025984,1.6874715364706516,253.2641837306929,100845.91898308607,20.652173913043477,20150121,48.0
2015,1,22,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,6445510.3456553705,0.0,260.02599961814695,0.7802199844811987,2.1400476700619344,255.36740273418252,100370.00979274388,21.666666666666668,20150122,0.0
2015,1,23,500,62,157.0,724.8290400000003,291.6265299999999,12.0,0.0,0.0,0.0,1.0,6150862.431635974,2.336750469567744e-06,261.09422404151417,1.1669675039353344,1.9465254661381408,256.6786224123894,99805.11987671051,22.7,20150123,0.0
2015,1,24,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,6438087.249121752,4.726059912086348e-06,260.1720238651531,0.9716547777629109,2.1210754979145148,254.75032518617292,100764.22416873268,23.652173913043477,20150124,0.0
2015,1,25,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,6434543.706463412,6.824120642988836e-06,262.0495210745987,0.8945150129185043,2.338879836982113,256.84336864591796,100379.82962436142,24.666666666666668,20150125,0.0
2015,1,26,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,6642320.906455181,1.5871833212636515e-05,260.87519917671517,3.1296160568883398,3.4492867546494264,248.26925776974102,100712.2508122209,25.636363636363637,20150126,0.0
2015,1,27,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,7286586.881883934,0.0,257.93614292379067,1.9891260883930728,2.1148951171677197,246.36470494755818,101218.32580961118,26.666666666666668,20150127,0.0
2015,1,28,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,7329609.6220012605,5.014662810225228e-07,259.2495144593832,1.4668334556947713,1.5795631002256791,249.8448066215094,101139.64936551424,27.652173913043477,20150128,0.0
2015,1,29,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,6415889.703583065,1.720929150871935e-05,262.5314802343052,1.4201259773353636,2.4249747342654016,251.7646930543492,100426.75681119366,28.727272727272727,20150129,0.0
2015,1,30,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,6976481.754167,9.923497975367312e-06,259.5321609556162,1.8008365392403218,2.2377832355026963,249.69052538161048,100968.03527798638,29.652173913043477,20150130,0.0
2015,1,31,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,7348278.361621883,0.0,260.5842194484839,1.5361402297081932,0.8310064330610425,252.3447844344198,101249.37635561572,30.666666666666668,20150131,0.0
2015,2,1,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,7483247.932344516,9.25185853854297e-18,262.78243444166236,1.3135680502910556,1.1716537273014007,255.13831051913348,101197.36191201152,31.666666666666668,20150201,0.0
2015,2,2,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,7794341.593110849,7.723543052484913e-08,262.3123278228214,1.012700042684396,2.3222541310510585,256.9891952417166,101496.96959837683,32.666666666666664,20150202,4.0
2015,2,3,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,6465551.664248812,3.1671323892835885e-06,261.1701668361881,0.6274977446510845,1.1640617218443676,256.6941843413007,101241.35535607648,33.65217391304348,20150203,0.0
2015,2,4,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,6907991.826678759,2.700146970533977e-06,262.6573631818912,0.8852694117970614,2.5448502467413574,256.07846550923625,100875.29277347625,34.69565217391305,20150204,0.0
2015,2,5,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,8103655.606721869,0.0,263.90417298997306,1.7177479460835783,2.0286947781804976,256.0228551663023,100221.14601112228,35.65217391304348,20150205,0.0
2015,2,6,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,7995913.276993534,4.346024065230967e-06,266.5120553945161,2.433681511149772,2.8867705872060383,255.93898546055152,99702.46066338387,36.65217391304348,20150206,0.0
2015,2,7,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,8390593.768959416,4.440285957797778e-06,255.9243412997895,3.424560849810392,5.034205402452931,241.5684232096781,100796.7771626317,37.65217391304348,20150207,0.0
2015,2,8,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,8959040.393902056,8.560483430788505e-07,256.2147390006258,1.837479788457664,2.0017442749863834,242.0284470953652,100801.38676694006,38.666666666666664,20150208,0.0
2015,2,9,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,8964078.860777522,4.1594314334191906e-07,257.6027364637553,0.677409766603818,1.6666795645710468,247.45483437909922,100380.97068351913,39.666666666666664,20150209,0.0
2015,2,10,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,9006799.351408193,5.545908577930804e-07,259.56393768147325,1.1493106309785202,1.7278856242995604,249.13685903405178,99748.33199007373,40.666666666666664,20150210,0.0
2015,2,11,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,8013667.569361335,7.104593782157358e-05,263.70323381075957,1.7401007391208778,3.9184570888124197,254.70152152447227,99518.93317529069,41.65217391304348,20150211,0.0
2015,2,12,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,7670447.297361635,7.774442276423307e-05,266.7083852306521,1.6287753095617081,3.5016823992245243,254.4794511954201,99648.87735428261,42.666666666666664,20150212,0.0
2015,2,13,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,8650726.11849722,2.910584549568462e-06,265.79420003054855,1.315883927129521,1.6498284250270374,257.1784542854513,99435.70530815375,43.65217391304348,20150213,11.0
2015,2,14,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,9697337.038226342,0.0,265.2076518775983,0.5746001906467086,1.612409180656125,257.9067321976332,99835.10889405142,44.65217391304348,20150214,0.0
2015,2,15,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,8170946.507929843,2.9772067419430815e-07,265.2678607393128,1.043878732131119,1.3336510783537632,258.47537331593264,100438.42822546278,45.666666666666664,20150215,9.0
2015,2,16,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,6361350.07097442,9.049983335804312e-05,267.4274673920224,0.7739080967202501,2.255239879458806,260.51523499889055,100089.11323803716,46.666666666666664,20150216,0.0
2015,2,17,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,7504462.196287874,0.0002141047357518028,270.26331354371297,1.0353209372475678,4.015855118368778,260.86791507474,100336.09647283504,47.666666666666664,20150217,31.0
2015,2,18,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,9682188.536147185,1.3609563443671424e-06,267.88537042908933,1.2797268970156288,2.8581674129662322,254.31019494744055,101010.38789914489,48.666666666666664,20150218,14.0
2015,2,19,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,9854387.253592337,8.468322473618312e-07,268.4502237333422,0.6059751523668931,3.647869494955287,251.7831411840135,100530.17122657114,49.666666666666664,20150219,0.0
2015,2,20,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,9408597.528359756,-4.625929269271485e-18,270.2622747077775,1.240088688069594,2.706830611891643,260.25452830598056,99648.00214836646,50.666666666666664,20150220,0.0
2015,2,21,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,6103762.314628077,0.0025975350573718505,270.7177204976082,1.0917643089245919,1.4040747317634505,268.9651672681788,98823.16544607008,51.69565217391305,20150221,0.0
2015,2,22,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,3657554.5426897425,0.0037389603631594083,268.61435872858283,1.8211873434588084,4.624219828144317,265.3959334673259,98445.76487737062,52.69565217391305,20150222,2.0
2015,2,23,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,7802396.4965978265,0.0014855295774117408,264.60525983354376,3.5615219699436067,3.1327892971128644,258.0996706558991,99387.63111397433,53.68181818181818,20150223,14.0
2015,2,24,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,11322947.698652862,0.0,259.6115960826867,1.7626060841356763,1.7374897154613285,253.49921603972933,99897.57300021275,54.68181818181818,20150224,20.0
2015,2,25,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,11708752.529768275,8.809871183655128e-08,257.74155862654965,1.3205613204010995,1.1719637603040691,252.21598081149787,100245.20234427818,55.65217391304348,20150225,5.0
2015,2,26,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,11672727.366572313,4.392697854235679e-06,258.51377091924803,0.704976301820114,1.4162641943005252,253.71851405053803,100314.85137993259,56.666666666666664,20150226,81.0
2015,2,27,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,11862635.377763873,1.951750768232919e-06,262.5446041798076,2.1141046175823983,2.121877831048027,256.72649087996547,100838.9031604505,57.666666666666664,20150227,69.0
2015,2,28,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,10132891.330392068,0.00041167319560186667,264.9787680320345,0.6055569174837862,3.164402600016844,260.7726263881942,99899.72244202856,58.666666666666664,20150228,13.0
2015,3,1,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,10338745.225375,0.0005777478203802117,263.7822050673283,2.6654454595857726,1.5104990346654181,258.4007175269316,99164.0404715115,59.666666666666664,20150301,156.0
2015,3,2,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,11960251.119429376,7.949265636216072e-06,263.9318354788816,1.5819768723333765,0.7619532760305875,257.46133456861577,99419.38719365747,60.69565217391305,20150302,60.0
2015,3,3,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,10484840.058628226,8.380168725908293e-05,262.0717227069758,0.8057429281544547,2.8839940619684916,257.97414031235473,99830.93347735419,61.666666666666664,20150303,225.0
2015,3,4,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,11237490.893417787,2.6994084767316646e-05,261.1303462810369,1.0814126004442308,2.2979965331190266,255.0128687539715,100374.3380409846,62.69565217391305,20150304,66.0
2015,3,5,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,12884231.032103105,1.2764839213624697e-06,262.1083696611576,0.9438397729226252,2.230152616522732,255.91938407098564,100221.15594208571,63.666666666666664,20150305,95.0
2015,3,6,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,11847227.54700542,3.749976024165075e-07,265.3119785377391,0.6916374590653506,2.235369839512634,258.4591812920327,99269.70825673535,64.66666666666667,20150306,64.0
2015,3,7,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,11683217.724682687,1.0759735248019755e-06,265.6886950722581,3.1276482698936228,1.527647607421142,256.5000016153618,100008.00475998824,65.65217391304348,20150307,2.0
2015,3,8,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,12516966.28567685,1.1407188276513455e-05,263.38710324454763,2.7338916955101187,1.5118342244815282,254.21842811441323,100558.80553440415,66.65217391304348,20150308,3.0
2015,3,9,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,12995380.126661377,8.411091072236268e-05,262.0055829355706,1.5321677850215256,4.213903196543223,254.22099133607068,100953.87787131203,67.66666666666667,20150309,0.0
2015,3,10,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,13367140.724109128,2.105586735877407e-06,260.8123521252224,1.1448333949163885,2.5648767457673283,252.23066876780567,100584.53763259946,68.65217391304348,20150310,28.0
2015,3,11,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,13154031.833860246,5.31849157123989e-07,263.44325289859876,3.0583532569821728,3.8255181837122056,253.56938961762287,99787.6372527887,69.63636363636364,20150311,30.0
2015,3,12,500,62,157.0,724.8290400000003,291.62653,12.0,0.0,0.0,0.0,1.0,8377320.396784825,0.00030396229464335004,268.5081302008804,1.1968704131959866,2.99202323538417,261.5160235028329,99445.29747053728,71.0,20150312,31.0
2015,3,13,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,10824325.308193963,0.00013190849779703748,270.36491186138966,1.2356591866172453,2.4908517258399585,262.0242373342246,99944.89620496293,71.66666666666667,20150313,89.0
2015,3,14,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,13192037.305974344,-9.25185853854297e-18,271.5234386824457,1.1944521079825658,2.1469889990705524,261.25565126383066,99679.92943296656,72.66666666666667,20150314,119.0
2015,3,15,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,13089943.049182648,4.6813360557813694e-07,273.2274160069044,0.6614540551409903,2.045368391557493,260.1862856819505,99142.3870480859,73.65217391304348,20150315,158.0
2015,3,16,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,13198431.500948414,8.381484607877315e-07,274.9288052388754,2.3063786247207516,2.626208785618748,261.8230671744712,99237.21871200418,74.65217391304348,20150316,67.0
2015,3,17,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,13874067.592389127,4.2717612406458876e-07,274.5324701369423,2.541627807364555,2.271120892749124,255.9741129787261,99898.13088998343,75.66666666666667,20150317,160.0
2015,3,18,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,13026088.52409767,0.0001706937546203603,275.6403524017641,1.564000366413894,4.310858832992826,257.3034194933118,99247.47926406424,76.65217391304348,20150318,92.0
2015,3,19,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,13318903.619304147,0.00014351959828798696,276.6372824186429,2.449190532985053,2.2803014235287815,258.54937816472267,99265.235408115,77.65217391304348,20150319,103.0
2015,3,20,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,14605373.456869736,-9.25185853854297e-18,276.3373073724784,2.0861837703079713,2.464144198247966,255.69511640963148,99464.27609436952,78.66666666666667,20150320,70.0
2015,3,21,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,14843838.851426039,4.223674550204399e-18,275.65868594772104,4.0351396528695025,3.2017753367238284,254.10737252598673,99240.12516894803,79.65217391304348,20150321,166.0
2015,3,22,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,15195507.893200114,4.625929269271485e-18,270.25564126880727,3.855720227832803,4.827676954837881,246.10251364543672,100214.14522845262,80.66666666666667,20150322,65.0
2015,3,23,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,15543831.082904799,2.5645526449448913e-07,270.5982430855806,1.231099858054866,2.6038131918767538,248.51832863732477,100950.33211533114,81.66666666666667,20150323,83.0
2015,3,24,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,15534910.009235304,0.0,273.24576045288137,1.0962444772517292,1.9801165813569934,252.95655257501275,101042.14299287958,82.65217391304348,20150324,153.0
2015,3,25,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,15268107.640941719,6.6871794636147e-08,280.492937963564,1.4836835923830662,3.6886457609786754,259.9889643631112,100150.51201950647,83.66666666666667,20150325,385.0
2015,3,26,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,15436440.042940205,2.3129646346357427e-18,284.9628653071175,3.393148144674976,2.8858947918689974,262.0067656104623,99426.40475437896,84.66666666666667,20150326,244.0
2015,3,27,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,13636566.946916409,4.161291808931817e-07,281.33590965017993,2.1697171440037035,2.663924466140734,269.92764431996426,99169.52728564637,85.63636363636364,20150327,265.0
2015,3,28,500,62,157.0,724.8290400000003,291.6265299999999,12.0,0.0,0.0,0.0,1.0,12498851.498651717,0.00027910674562987544,277.2999568159615,1.325511598880547,3.6229486326982814,267.78564761523313,99325.73224372983,86.66666666666667,20150328,267.0
2015,3,29,500,62,157.0,724.8290400000003,291.6265299999999,12.0,0.0,0.0,0.0,1.0,13559039.397574326,7.935052753884668e-05,278.4341265037835,1.1504305116464464,2.779405339782613,267.9657325147308,99185.80440890366,87.66666666666667,20150329,238.0
2015,3,30,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,14232345.535728818,-4.625929269271485e-18,279.8936960982902,1.0822108341515253,3.574012344790953,265.0317343970399,99219.79729865941,88.66666666666667,20150330,257.0
2015,3,31,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,15616371.527009295,7.647400470378596e-07,276.42935737290605,1.4958066212338987,2.5253090831512948,256.90374940454024,100190.83274571394,89.66666666666667,20150331,264.0
2015,4,1,500,62,157.0,724.8290400000004,291.6265299999999,12.0,0.0,0.0,0.0,1.0,16559241.208860591,-1.3877787807814455e-17,278.98820974836406,3.292911047916374,1.5266169189584975,258.42468365833224,99711.19465676707,90.65217391304348,20150401,43.0
2015,4,2,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,10072541.603089286,2.496380686572407e-05,276.2680352123552,0.9588650479946185,1.5103855047893717,266.3576866214302,98935.14731951403,91.66666666666667,20150402,121.0
2015,4,3,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,11000478.920269178,3.354939029710154e-05,275.3538343397754,1.9030840761483898,2.371590773881233,261.6400755979567,99456.35819904093,92.66666666666667,20150403,78.0
2015,4,4,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,9213103.894986754,0.002451020983051586,271.0304404948865,3.4113670613861653,3.1202688712975593,263.91396392847804,100154.20560265997,93.66666666666667,20150404,0.0
2015,4,5,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,8824832.669305285,0.0028093850798809918,269.1941730708592,0.9760131590483959,3.47442780118074,264.34939155736555,99732.53174034019,94.66666666666667,20150405,14.0
2015,4,6,500,62,157.0,724.8290400000004,291.62652999999983,12.0,0.0,0.0,0.0,1.0,14356116.093838215,4.20723805834375e-05,267.0192495597276,3.1645180845295298,2.7244437814158435,256.24470175988745,100580.21422310313,95.66666666666667,20150406,42.0
